id	comment	internal_comment	country_code	longitude	latitude	name_de	name_fr	synonymous
10188	"Forécariah ist eine Präfektur in der Region Kindia in Guinea. 

Vgl. dodis.ch/34106"			-13.083333	9.433333			Forecariah, Guinea/Forecariah, Guinée/Forécariah
10189	Vgl. dodis.ch/34106			-13.58261	10.368715			Kimbo (Guinea), Guinea/Kimbo, Guinée/Kimbo, Fria (Guinea)
10190				7.808562	46.660313			Därligen
10191								Keinstein
10192				2.425377	48.936752			Le Bourget
10193				6.04142	46.14319			Soral
10194				6.18742	46.18049			Foron
10195				9.057645	48.521637			Tübingen
10196				16.28703	39.512585			Bisignano
10197	Vorchristliches Reich im Norden des heutigen Iran.			50	33.5			Mad, Mada, Umman-Mand, Medien (Land), Reich der Meder, Mèdes, Media (country), Medes
10198	altorientalisches Reich um den Vansee in Kleinasien			43.38311	38.49239			Urartu, Ourartou, Kingdom of Van, Urartäisches Reich
10199				78.383333	42.5			Karakol, Prschewalsk (1939-1991), Przhevalsk, Prjevalsk, Przeval'sk
10200	Staat im Ferghanatal, mit der Hauptstadt Kokand. Es existierte von ca. 1710 bis 1876			70.9425	40.52861			Khanat Kokand, Kokand, Khanato di Kokand, Khanat de Kokand
10201	Alte Garnisonsstadt in Kirgistan			75.993161	41.42984			Naryn, Narin, Narine
10202	Stadt am Rand des Ferghanatals im Süden von Kirgisistan			72.798889	40.536944			O'sh, Osch, Osh, Oche
10203	Inselregion im Pazifischen Ozean.			-166.64062	-13.923404			Polynesien, Polynésie, Polinesia
10204				178.4419	-18.1416			Suva
10205				9.393072	47.45867			Kronbühl
10206				8.20495	47.2664			Beinwil am See
10207	Vgl. dodis.ch/34540			123	35			Chinesisches Meer
10208				18.80762	37.78848			Ionisches Meer, Mer Ionienne, Mar Ionio
10209				19.485	40.465			Vlora, Vlorë, Avlóna, Valona, Avlonya, Avlona
10210				20.777807	40.61408			Korça, Korçë, Korytsá, Corizza, Curceaua
10211				19.503256	42.069298			Shkodra, Shkodër, Skadar, Skutari, Scutari
10212				20.086655	41.11023			Elbasan, Elbasani
10213				19.633333	40.533333			Selenica
10214				19.666668	41.07611			Rrogozhina, Rrogozhinë, Rogozhina
10215				19.56276	41.184452			Kavaja, Kavajë
10216				20.54836	41.071484			Përrenjas, Përrenjasi, Prrenjas, Prrenjasi, Prenjas
10217				20.688408	41.02364			Ohridsko Ezero, Ohridsee, Ochridsee, Liqeni i Ohrit, Lake Ohrid, Ohridsko jezero
10218				7.06424	47.05091			Le Landeron, Landern
10219				7.503712	47.215927			Bellach (SO)
10220				8.377078	47.504444			Niederweningen (ZH)
10221				6.12559	46.21016			Châtelaine
10222				8.917	45.92277			Morcote
10223				-0.749444	51.274444			Farnborough, Hampshire
10224				-0.335109	45.03625			Antiochia, Antioche
10225	Dorf in Kuba			-70.68271	-18.15498			Sama, Boca de Sama
10226	vgl. dodis.ch/34186							norddeutsche Ebene
10227		cf. dodis.ch/G11.		-86.9023	32.31823	Vereinigte Staaten/Alabama	États-Unis/Alabama	USA/Alabama, USA/AL, Stati Uniti/Alabama, United States/Alabama
10228				25.799171	71.16546			Nordkap, Cap Nord, Capo Nord
10229	Decazeville, Stadt in Mittelfrankreich, nordöstl. von Toulouse.			2.25183	44.560318			Decazeville
10230	"Französische Gemeinde, im Département Calvados in der Region Basse-Normandie.

vgl. dodis.ch/34190"			-0.70314	49.276436			Bayeux
10231				18.684887	53.453644			Weichsel, Vistule, Vistola, Vistula River
10232								Ligne Curzon, Curzon-Linie, Curzon Line, Linea Curzon
10233				48.95	-12.8			Bobosakoa
10234				47.816666	-22.816668			Farafangana
10235				16.77756	47.865044			Neusiedler See, Neusiedlersee, Lac de Neusiedl, Lake Neusiedl, Lago di Neusiedl
10236				6.388988	46.493767			Aubonne
10237								Salgau / D
10238				3.00349	48.26568			Aunoy
10239		"Région regroupant 16 États ainsi que le district fédéral répartis en trois divisions géographiques : 
- South Atlantic : Delaware, Floride, Géorgie, Maryland, Caroline du Nord, Caroline du Sud, Virginie, Washington D.C. et Virginie-Occidentale.
- East South Central (Alabama, Kentucky, Mississippi et Tennessee.
- West South Central : Arkansas, Louisiane, Oklahoma et Texas.
cf. dodis.ch/G11."		-115.775986	32.793266	Vereinigte Staaten/Südstaaten	Sud des États-Unis	Dixieland, Southern United States, Stati Uniti d'America meridionali, USA/Sud, USA/Sud, United States/Southern States, Stati Uniti/Stati meridionali, Dixie
10240								Golfstaaten, Pays du Golfe, Stati del Golfo
10242		cf. dodis.ch/G5017.		54.39	24.450278	VAE/Abu Dhabi	ÉAU/Abou Dabi	EAU/Abu Dhabi, UAE/Abu Dhabi, Emirati Arabi Uniti/Abu Dhabi, United Arab Emirates/Abu Dhabi
10243		"Ne pas confondre avec la ville éponyme (cf. dodis.ch/G10183).
cf. dodis.ch/G5017."		55.3	25.2	VAE/Dubai	ÉAU/Dubaï	EAU/Dubai, UAE/Dubai, Emirati Arabi Uniti/Dubai, United Arab Emirates/Dubai
10244		cf. dodis.ch/G5017.		55.4796	25.3995	VAE/Ajman	ÉAU/Ajman	EAU/Ajman, Adschman, Adjman, UAE/Ajman, Emirati Arabi Uniti/Ajman, United Arab Emirates/Ajman
10245	Emirat	cf. dodis.ch/G5017.		56.35257	25.117388	VAE/Fudschaira	ÉAU/Fujaïrah	EAU/Fujaira, UAE/Fujairah, Foudjaïra, Fujeira, Emirati Arabi Uniti/Fujaira, United Arab Emirates/Fujairah
10246	Emirat			55.71339	25.520483	VAE/Umm al-Qaiwain	ÉAU/Oumm al Qaïqaïn	UAE/Umm al-Quwain, Umm al-Qiwain, Oumm al Qaïwaïn, EAU/Umm al-Qaywayn, United Arab Emirates/Umm al-Quwain, Emirati Arabi Uniti/Umm al-Qaywayn
10247	Emirat	cf. dodis.ch/G5017.		55.9762	25.800694	VAE/Ra's al-Chaima	ÉAU/Ras el Khaïmah	UAE/Ras al-Khaimah, Ra'sal-Khaymah, Ras-el-Khaïma, EAU/Ras al-Kaimah, United Arab Emirates/Ras al-Kaimah, Emirati Arabi Uniti/Ras el Khaïmah
