id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
341			12.98556	47.93039			Gastein
347			0.612311	45.628424	Westeuropa	Europe de l'Ouest	Europa occidentale
349			-9.139337	38.72225	Lissabon	Lisbonne	Lisbona
350							
351			3.425488	46.13186			Vichy
354			11.97456	57.70887			Goteborg, Göteborg
355			2.173404	41.385063			Barcellona, Barcelona, Barcelone
356	Stadt im Norden Algeriens		-0.633056	35.696945			Orano, Oran
357			27.12872	38.41885			Smyrna, Smirne, Smyrne
361			12.4833	41.9	Rom	Rome	Roma
362			9.537499	33.886917	Tunesien	Tunisie	Tunisia
363							Afrique Occidentale britannique
364			33.42986	35.12641			Cipro, Zypern, Chypre
365			-77.29751	18.109581	Jamaika	Jamaïque	Giamaica, Jamaica
366			46.869106	-18.766947	Madagaskar	Madagascar	Madagascar
367			55.536385	-21.11514			Reunione (Isola della), Réunion
372			11.601487	47.253742			Tirol, Tirolo, Tyrol
373			9.979737	47.249744			Vorarlberg
378			5.943497	48.20254			Vittel
379			2.826145	49.417816			Compiègne
380			2.445676	48.924297			Drancy
381			19.209778	50.034397			Osswiecin, Auschwitz, Oswiecim
386			8.682127	50.110924	Frankfurt	Francfort-sur-le-Main	Francoforte, Francoforte sul Meno
387			8.618162	50.22683			Bad Homburg
388			10.68656	53.865467			Lubecca, Lübekke, Lübeck
393			13.41667	47.38333			Markt Pongau
394			13.05501	47.80949			Salzburg, Salisburgo, Salzbourg
395			13.132661	47.11409			Badgastein
396	in Bayern (Deutschland)		13.000074	47.63018			Berchtesgaden, Obersalzberg
398			13.4928	46.79968			Spittal
400			18.7	53.4			Westpreussen, Prussia occidentale, Prusse occidentale
402			14.432875	50.085075			Böhmen, Boemia, Bohême
405			18.646639	54.352024			Dantzig, Danzica, Danzig
406			10.752245	59.913868			Oslo, Christiania
407							Mähren, Moravia, Moravie
408			12.9301	47.934746			Laufen (Baviera), Laufen (Oberbayern), Laufen (Bavière)
409			12.768909	48.058117			Tittmoning
410			18.516667	50.45			Tost
411			18.216667	50.966667			Kreuzburg
412			14.805409	48.531525			Liebenau
413			9.788611	48.098056			Biberach
414			13.6442	46.62549			Würzach
